Name,Profile URL,Keywords Found
"Abell, Annie",https://engineering.osu.edu/people/abell.9,technology
"Abu Shattal, Mohammad",https://engineering.osu.edu/people/abushattal.1,technology
"Adamovich, Igor",https://engineering.osu.edu/people/adamovich.1,technology
"Adeli, Hojjat",https://engineering.osu.edu/people/adeli.1,technology
"Agarwal, Anant",https://engineering.osu.edu/people/agarwal.334,technology
"Agarwal, Gunjan",https://engineering.osu.edu/people/agarwal.60,technology
"Agudelo Garcia, Paula",https://engineering.osu.edu/people/agudelogarcia.1,technology
"Ahadi, Kaveh",https://engineering.osu.edu/people/ahadi.4,technology
"Ahmad, Rizwan",https://engineering.osu.edu/people/ahmad.46,"technology, machine learning"
"Ahmed, Qadeer",https://engineering.osu.edu/people/ahmed.358,"technology, machine learning"
"Ahn, Benjamin",https://engineering.osu.edu/people/ahn.383,technology
"Ak, Ranjith Kumar",https://engineering.osu.edu/people/ak.3,technology
"Akbar, Sheikh",https://engineering.osu.edu/people/akbar.1,technology
"Aksun Guvenc, Bilin",https://engineering.osu.edu/people/aksunguvenc.1,technology
"AL-Baghdadi, Ahmed",https://engineering.osu.edu/people/al-baghdadi.3,"technology, machine learning, software"
"Aldemir, Tunc",https://engineering.osu.edu/people/aldemir.1,"technology, software"
"Aldridge, Julie",https://engineering.osu.edu/people/aldridge.10,technology
"Alexandrov, Boian",https://engineering.osu.edu/people/alexandrov.1,"technology, programming"
"AlilooeeDolatabad, Ali",https://engineering.osu.edu/people/alilooeedolatabad.1,technology
"Allen, Ted",https://engineering.osu.edu/people/allen.515,"technology, machine learning"
"Amancio, Sergio",https://engineering.osu.edu/people/amancio.2,technology
"Amayreh, Baha",https://engineering.osu.edu/people/amayreh.1,technology
"Ames, Nate",https://engineering.osu.edu/people/ames.21,technology
"Anderson, Betty Lise",https://engineering.osu.edu/people/anderson.67,"technology, computing"
"Anderson, Peter",https://engineering.osu.edu/people/anderson.1,technology
"Andrews, Mark",https://engineering.osu.edu/people/andrews.250,technology
"Annasiwatta, Chandika",https://engineering.osu.edu/people/annasiwatta.1,technology
"Ansari, Iman",https://engineering.osu.edu/people/ansari.99,technology
"Arafin, Shamsul",https://engineering.osu.edu/people/arafin.1,technology
"Arehart, Aaron",https://engineering.osu.edu/people/arehart.5,technology
"Arora, Anish",https://engineering.osu.edu/people/arora.9,technology
"Artiles, Mayra",https://engineering.osu.edu/people/artiles.2,technology
"Asthagiri, Aravind",https://engineering.osu.edu/people/asthagiri.1,technology
"Athreya, Kannan",https://engineering.osu.edu/people/athreya.14,technology
"Atiq, Syedah Zahra",https://engineering.osu.edu/people/atiq.2,"technology, computing, programming"
"Atkinson, Chris",https://engineering.osu.edu/people/atkinson.284,"technology, machine learning"
"Ayer, Brendan",https://engineering.osu.edu/people/ayer.8,technology
"Baba, Tameka",https://engineering.osu.edu/people/baba.28,technology
"Babu, Sudarsanam",https://engineering.osu.edu/people/babu.13,technology
"Ballard, Michael",https://engineering.osu.edu/people/ballard.326,technology
"Banerjee, Rajarashi",https://engineering.osu.edu/people/banerjee.217,technology
"Barker, Joe",https://engineering.osu.edu/people/barker.348,technology
"Barzi, Emanuela",https://engineering.osu.edu/people/barzi.1,technology
"Bassal, Patrick",https://engineering.osu.edu/people/bassal.3,technology
"Bassily, Raef",https://engineering.osu.edu/people/bassily.1,"technology, machine learning"
"Baumberger, Michael",https://engineering.osu.edu/people/baumberger.10,technology
"Bayraksan, Guzin",https://engineering.osu.edu/people/bayraksan.1,"technology, computing, programming"
"Beach, Elvin",https://engineering.osu.edu/people/beach.110,technology
"Beck, Abby",https://engineering.osu.edu/people/beck.817,technology
"Beckman, Adam",https://engineering.osu.edu/people/beckman.43,technology
"Bedford, Keith",https://engineering.osu.edu/people/bedford.1,technology
"Belloni, Clarissa",https://engineering.osu.edu/people/belloni.5,technology
"Benatar, Avi",https://engineering.osu.edu/people/benatar.1,technology
"Bentley, Jennifer",https://engineering.osu.edu/people/bentley.262,technology
"Berg, Cara",https://engineering.osu.edu/people/berg.192,technology
"Berger, Paul R.",https://engineering.osu.edu/people/berger.143,technology
"Berger-Wolf, Tanya",https://engineering.osu.edu/people/berger-wolf.1,"technology, data science, machine learning, software"
"Berme, Necip",https://engineering.osu.edu/people/berme.1,technology
"Bertocchi, Kristina",https://engineering.osu.edu/people/bertocchi.1,technology
"Bertsch, Dale",https://engineering.osu.edu/people/bertsch.2,technology
"Best, Kelsea",https://engineering.osu.edu/people/best.309,"technology, machine learning"
"Bhattacharya, Shubho",https://engineering.osu.edu/people/bhattacharya.102,technology
"Bibyk, Steven",https://engineering.osu.edu/people/bibyk.1,technology
"Bielicki, Jeff",https://engineering.osu.edu/people/bielicki.2,technology
"Bigham, Ashley",https://engineering.osu.edu/people/bigham.44,technology
"Bihari, Thomas",https://engineering.osu.edu/people/bihari.5,"technology, software"
"Bingham, Brian",https://engineering.osu.edu/people/bingham.19,technology
"Bishop, John",https://engineering.osu.edu/people/bishop.97,technology
"Blanas, Spyros",https://engineering.osu.edu/people/blanas.2,technology
"Blostein, Beth",https://engineering.osu.edu/people/blostein.3,technology
"Bodnar, Cheryl",https://engineering.osu.edu/people/bodnar.90,technology
"Boggus, Matt",https://engineering.osu.edu/people/boggus.2,technology
"Bohrer, Gil",https://engineering.osu.edu/people/bohrer.17,technology
"Bojja Venkatakrishnan, Shaileshh",https://engineering.osu.edu/people/bojjavenkatakrishnan.2,"technology, machine learning"
"Bolin, Mark",https://engineering.osu.edu/people/bolin.98,technology
"Bolwerk, Timothy G.",https://engineering.osu.edu/people/bolwerk.1,technology
"Bond, Michael",https://engineering.osu.edu/people/bond.213,technology
"Bons, Jeffrey",https://engineering.osu.edu/people/bons.2,technology
"Boswell, Jake",https://engineering.osu.edu/people/boswell.33,technology
"Bourgeois, Desmond",https://engineering.osu.edu/people/bourgeois.16,technology
"Boyd, Doug",https://engineering.osu.edu/people/boyd.849,technology
"Braaten, Bailey",https://engineering.osu.edu/people/braaten.7,technology
"Brenkus, Natassia",https://engineering.osu.edu/people/brenkus.4,technology
"Brew, Chris",https://engineering.osu.edu/people/brew.2,technology
"Brillson, Leonard",https://engineering.osu.edu/people/brillson.1,technology
"Brocanelli, Marco",https://engineering.osu.edu/people/brocanelli.1,"technology, computing"
"Brown, Jonathan",https://engineering.osu.edu/people/brown.4972,"technology, computing, programming"
"Brunelli, Nick",https://engineering.osu.edu/people/brunelli.2,technology
"Brunette, Maju",https://engineering.osu.edu/people/brunette.6,technology
"Bucci, Paolo",https://engineering.osu.edu/people/bucci.2,technology
"Buchheit, Rudolph",https://engineering.osu.edu/people/buchheit.8,technology
"Bulut, Osman",https://engineering.osu.edu/people/bulut.8,technology
"Burris, Lisa",https://engineering.osu.edu/people/burris.189,technology
"Burrus, Roxyanne",https://engineering.osu.edu/people/burrus.9,technology
"Burton, Kimberly",https://engineering.osu.edu/people/burton.90,technology
"Butalia, Tarunjit",https://engineering.osu.edu/people/butalia.1,technology
"Byna, Suren",https://engineering.osu.edu/people/byna.1,"technology, computing, software"
"Calderon Ortiz, Gabriel",https://engineering.osu.edu/people/calderonortiz.1,technology
"Canova, Marcello",https://engineering.osu.edu/people/canova.1,technology
"Cao, Raymond",https://engineering.osu.edu/people/cao.152,technology
"Carberry, Adam",https://engineering.osu.edu/people/carberry.22,technology
"Cardoso, Ricardo",https://engineering.osu.edu/people/cardoso.24,technology
"Carpenter, Timothy",https://engineering.osu.edu/people/carpenter.454,technology
"Carrel, Andre",https://engineering.osu.edu/people/carrel.20,technology
"Cartwright, Charles",https://engineering.osu.edu/people/cartwright.45,technology
"Casado, Ana",https://engineering.osu.edu/people/casado.1,"technology, programming"
