Name,Profile URL,Keywords Found
W. Scott McGraw,https://anthropology.osu.edu/people/mcgraw.43,software
Jeffrey Cohen,https://anthropology.osu.edu/people/cohen.319,software
Robert Cook,https://anthropology.osu.edu/people/cook.426,software
Douglas  Crews,https://anthropology.osu.edu/people/crews.8,"software, data"
Sean Downey,https://anthropology.osu.edu/people/downey.205,"software, data"
Julie S. Field,https://anthropology.osu.edu/people/field.59,software
Debbie Guatelli-Steinberg,https://anthropology.osu.edu/people/Guatelli-Steinbe.1,software
Mark  Hubbe,https://anthropology.osu.edu/people/hubbe.1,"software, data"
Nicholas C. Kawa,https://anthropology.osu.edu/people/kawa.5,software
Dawn  Kitchen,https://anthropology.osu.edu/people/kitchen.79,software
Clark Spencer Larsen,https://anthropology.osu.edu/people/larsen.53,software
Joy McCorriston,https://anthropology.osu.edu/people/mccorriston.1,software
Jeffrey McKee,https://anthropology.osu.edu/people/mckee.95,software
Erin Moore,https://anthropology.osu.edu/people/moore.4540,software
Mark Moritz,https://anthropology.osu.edu/people/moritz.42,software
Nicholas  Passalacqua,https://anthropology.osu.edu/people/Passalacqua.19,software
