Name,Profile URL,Keywords Found
Richard Pogge,https://astronomy.osu.edu/people/pogge.1,technology
B. Scott Gaudi,https://astronomy.osu.edu/people/gaudi.1,"technology, data"
Chris Hirata,https://astronomy.osu.edu/people/hirata.10,"technology, data"
Christopher Kochanek,https://astronomy.osu.edu/people/kochanek.1,technology
Laura Lopez,https://astronomy.osu.edu/people/lopez.513,technology
Smita Mathur,https://astronomy.osu.edu/people/mathur.17,technology
Marc Pinsonneault,https://astronomy.osu.edu/people/pinsonneault.1,data
Donald Terndrup,https://astronomy.osu.edu/people/terndrup.1,data
Yuan-Sen Ting,https://astronomy.osu.edu/people/ting.74,"machine learning, artificial intelligence, data"
Ji Wang,https://astronomy.osu.edu/people/wang.12220,technology
Ashley Ross,https://astronomy.osu.edu/people/ross.1333,data
Wayne Schlingman,https://astronomy.osu.edu/people/schlingman.4,technology
