Name,Profile URL,Keywords Found
Heather Allen,https://chemistry.osu.edu/people/allen.697,software
Abraham Badu-Tawiah,https://chemistry.osu.edu/people/badu-tawiah.1,"technology, data"
Robert Baker,https://chemistry.osu.edu/people/baker.2364,technology
Nuwan Bandara,https://chemistry.osu.edu/people/bandara.7,"technology, data"
Rafael Brüschweiler,https://chemistry.osu.edu/people/bruschweiler.1,"machine learning, bioinformatics, computational biology, data"
Ross Dalbey,https://chemistry.osu.edu/people/dalbey.1,technology
Mark Foster,https://chemistry.osu.edu/people/foster.281,"technology, software, bioinformatics, data"
Joshua Goldberger,https://chemistry.osu.edu/people/goldberger.4,technology
Venkat Gopalan,https://chemistry.osu.edu/people/gopalan.5,technology
Philip Grandinetti,https://chemistry.osu.edu/people/grandinetti.1,data
Christopher Hadad,https://chemistry.osu.edu/people/hadad.1,technology
John Herbert,https://chemistry.osu.edu/people/herbert.44,"technology, software"
Amanda Hummon,https://chemistry.osu.edu/people/hummon.1,"technology, data"
Christopher Jaroniec,https://chemistry.osu.edu/people/jaroniec.1,technology
Buddini Karawdeniya,https://chemistry.osu.edu/people/karawdeniya.1,technology
Dmitri Kudryashov,https://chemistry.osu.edu/people/kudryashov.1,technology
