Name,Profile URL,Keywords Found
Claire Adams,https://fisher.osu.edu/people/adams.2547,"AI, data"
Trey Addison,https://fisher.osu.edu/people/addison.34,"AI, data"
Vandana Agrawal,https://fisher.osu.edu/people/agrawal.55,"AI, data"
Maneesh Reddy Ajjuguttu,https://fisher.osu.edu/people/ajjuguttu.1,"AI, data"
Greg Allenby,https://fisher.osu.edu/people/allenby.1,"technology, AI, programming, data"
Joseph Alutto,https://fisher.osu.edu/people/alutto.1,"technology, AI, data"
Jaideep (Jay) Anand,https://fisher.osu.edu/people/anand.18,"technology, AI, data"
Anil Arya,https://fisher.osu.edu/people/arya.4,"technology, AI, data"
Roger Bailey,https://fisher.osu.edu/people/bailey.1117,"AI, data"
Bruce Barnes,https://fisher.osu.edu/people/barnes.536,"technology, AI, data"
Itzhak (Zahi) Ben-David,https://fisher.osu.edu/people/ben-david.1,"AI, data"
Elliot Bendoly,https://fisher.osu.edu/people/bendoly.2,"technology, AI, data science, IoT, data mining, data visualization, data"
W.C. Benton,https://fisher.osu.edu/people/benton.1,"AI, data"
William Bentz,https://fisher.osu.edu/people/bentz.1,"AI, data"
Justin Birru,https://fisher.osu.edu/people/birru.2,"AI, data"
John Blackburn,https://fisher.osu.edu/people/blackburn.3,"AI, IoT, data"
Christian Blanco,https://fisher.osu.edu/people/blanco.58,"technology, AI, data"
Bradford Bodine,https://fisher.osu.edu/people/bodine.37,"AI, data"
Kenneth Boyer,https://fisher.osu.edu/people/boyer.9,"technology, AI, IoT, data"
Ryan Browder,https://fisher.osu.edu/people/browder.7,"AI, data"
Charles Buchanan,https://fisher.osu.edu/people/buchanan.241,"AI, data"
Robert Burnkrant,https://fisher.osu.edu/people/burnkrant.1,"AI, data"
Ben Campbell,https://fisher.osu.edu/people/campbell.224,"technology, AI, data"
Mark Cappone,https://fisher.osu.edu/people/cappone.2,"AI, data"
Vince Castillo,https://fisher.osu.edu/people/castillo.230,"technology, AI, artificial intelligence, data visualization, data"
GIZEM CEYLAN,https://fisher.osu.edu/people/ceylan.7,"AI, data"
Aravind Chandrasekaran,https://fisher.osu.edu/people/chandrasekaran.24,"technology, AI, data science, data"
Aditya Chaudhry,https://fisher.osu.edu/people/chaudhry.127,"AI, machine learning, data"
Pai-Cheng Chu,https://fisher.osu.edu/people/chu.4,"AI, data"
Susan Clark,https://fisher.osu.edu/people/clark.238,"AI, data"
Adam Cockrell,https://fisher.osu.edu/people/cockrell.49,"AI, data"
Andrea (Andy) Contigiani,https://fisher.osu.edu/people/contigiani.1,"technology, AI, machine learning, data"
Martha Cooper,https://fisher.osu.edu/people/cooper.7,"AI, data"
Carlos Corona,https://fisher.osu.edu/people/corona.55,"AI, data"
Nathan Craig,https://fisher.osu.edu/people/craig.186,"technology, AI, data science, machine learning, software, artificial intelligence, predictive analytics, data"
Seth Cramer,https://fisher.osu.edu/people/cramer.4,"AI, data"
Keely Croxton,https://fisher.osu.edu/people/croxton.4,"technology, AI, programming, big data, data"
Ernest Dancer,https://fisher.osu.edu/people/dancer.1,"AI, data"
Jurriaan de Jong,https://fisher.osu.edu/people/dejong.32,"technology, AI, data"
Xiaoyan Deng,https://fisher.osu.edu/people/deng.84,"AI, virtual reality, data"
Steve DeNunzio,https://fisher.osu.edu/people/denunzio.4,"technology, AI, software, artificial intelligence, blockchain, robotics, data"
James (Jay) Dial,https://fisher.osu.edu/people/dial.12,"AI, data"
J. Richard Dietrich,https://fisher.osu.edu/people/dietrich.59,"AI, data"
Grant Donnelly,https://fisher.osu.edu/people/donnelly.177,"AI, data"
Khosrow Doroodian,https://fisher.osu.edu/people/doroodian.3,"AI, data"
Jeff Dotson,https://fisher.osu.edu/people/dotson.83,"AI, software, artificial intelligence, IoT, data"
Emily Douglas,https://fisher.osu.edu/people/douglas.135,"AI, data"
Jackie Downs,https://fisher.osu.edu/people/downs.245,"AI, data"
John Draper,https://fisher.osu.edu/people/draper.34,"computing, AI, data science, software, predictive analytics, data"
Tracy Dumas,https://fisher.osu.edu/people/dumas.35,"AI, data"
Michael Easterday,https://fisher.osu.edu/people/easterday.21,"AI, data"
Jeffrey Eldersveld,https://fisher.osu.edu/people/eldersveld.2,"AI, data"
Chris Ellis,https://fisher.osu.edu/people/ellis.77,"AI, data"
Terry Esper,https://fisher.osu.edu/people/esper.9,"AI, data"
Douglas Evans,https://fisher.osu.edu/people/evans.1393,"AI, software, data"
John Fellingham,https://fisher.osu.edu/people/fellingham.1,"AI, data"
Laura Feustel,https://fisher.osu.edu/people/feustel.10,"AI, data"
Thomas Flanagan,https://fisher.osu.edu/people/flanagan.224,"AI, data"
Michael Fulton,https://fisher.osu.edu/people/fulton.27,"AI, data"
Carmin Gade,https://fisher.osu.edu/people/gade.2,"AI, data"
Kurt Gee,https://fisher.osu.edu/people/gee.149,"AI, data"
Rachel Geoffroy,https://fisher.osu.edu/people/geoffroy.1,"AI, data"
James Ginter,https://fisher.osu.edu/people/ginter.1,"AI, data"
Jennifer Glenn,https://fisher.osu.edu/people/glenn.349,"AI, data"
Andrei Gonçalves,https://fisher.osu.edu/people/goncalves.11,"AI, data"
Joseph Goodman,https://fisher.osu.edu/people/goodman.425,"AI, data"
Anna Goussevskaia,https://fisher.osu.edu/people/goussevskaia.1,"technology, AI, IoT, data"
John Gray,https://fisher.osu.edu/people/gray.402,"technology, AI, data"
Ralph Greco,https://fisher.osu.edu/people/greco.24,"technology, AI, software, data"
Scott Griffin,https://fisher.osu.edu/people/griffin.255,"AI, data"
Nicholas Hall,https://fisher.osu.edu/people/hall.33,"AI, programming, predictive analytics, data"
Julie Helmreich,https://fisher.osu.edu/people/helmreich.7,"AI, data"
James Hill,https://fisher.osu.edu/people/hill.249,"technology, AI, programming, data"
Brian Hipsher,https://fisher.osu.edu/people/hipsher.30,"AI, data"
Kewei Hou,https://fisher.osu.edu/people/hou.28,"technology, AI, data"
Matthew Hunter,https://fisher.osu.edu/people/hunter.1003,"AI, data"
Lawrence Inks,https://fisher.osu.edu/people/inks.3,"AI, data"
Joseph Irvine,https://fisher.osu.edu/people/irvine.17,"AI, data"
Mike Isler,https://fisher.osu.edu/people/isler.5,"AI, data"
Brian Izzo,https://fisher.osu.edu/people/izzo.23,"AI, data"
Tammy Izzo,https://fisher.osu.edu/people/izzo.32,"AI, data"
Daniel Jensen,https://fisher.osu.edu/people/jensen.7,"AI, data"
Jane Jiang,https://fisher.osu.edu/people/jiang.3186,"AI, machine learning, data"
Nil Karacaoglu,https://fisher.osu.edu/people/karacaoglu.2,"AI, data"
Kathleen Keeler,https://fisher.osu.edu/people/keeler.79,"AI, software, big data, data"
Rachel Kehn,https://fisher.osu.edu/people/kehn.7,"AI, data"
Lori Kendall,https://fisher.osu.edu/people/kendall.185,"technology, AI, software, networking, data"
Patrick Kielty,https://fisher.osu.edu/people/kielty.6,"AI, data"
Jiae Kim,https://fisher.osu.edu/people/kim.3887,"AI, data"
Minyoung Kim,https://fisher.osu.edu/people/kim.9574,"AI, data"
Jim Kinard,https://fisher.osu.edu/people/kinard.1,"AI, data"
Howard Klein,https://fisher.osu.edu/people/klein.12,"AI, data"
Terry Klinker,https://fisher.osu.edu/people/klinker.1,"AI, software, data"
Leonardo Kluppel,https://fisher.osu.edu/people/kluppel.1,"AI, data"
A. Michael Knemeyer,https://fisher.osu.edu/people/knemeyer.4,"technology, AI, data"
Jessica Kohlschmidt,https://fisher.osu.edu/people/kohlschmidt.1,"AI, data"
Telesilla Kotsi,https://fisher.osu.edu/people/kotsi.1,"AI, programming, data"
Ray Krasniewski,https://fisher.osu.edu/people/krasniewski.1,"AI, data"
Paul Krimm,https://fisher.osu.edu/people/krimm.6,"AI, data"
Venkat Kuppuswamy,https://fisher.osu.edu/people/kuppuswamy.6,"AI, data"
Scott LaCross,https://fisher.osu.edu/people/lacross.2,"AI, data"
Douglas Lambert,https://fisher.osu.edu/people/lambert.119,"AI, data"
Maria Landekhovskaya,https://fisher.osu.edu/people/landekhovskaya.1,"AI, data"
Hun Lee,https://fisher.osu.edu/people/lee.7313,"AI, data"
KIMBERLY LEE MINOR,https://fisher.osu.edu/people/leeminor.2,"AI, data"
Michael Leiblein,https://fisher.osu.edu/people/leiblein.1,"technology, AI, data"
Katie Lem,https://fisher.osu.edu/people/lem.4,"AI, data"
Roy Lewicki,https://fisher.osu.edu/people/lewicki.1,"AI, data"
Alice Li,https://fisher.osu.edu/people/li.815,"computing, AI, machine learning, software, artificial intelligence, IoT, deep learning, data"
"Robert Lount, Jr.",https://fisher.osu.edu/people/lount.1,"AI, data"
Richard Makadok,https://fisher.osu.edu/people/makadok.2,"AI, networking, data"
Anil Makhija,https://fisher.osu.edu/people/makhija.1,"technology, AI, data"
Mona Makhija,https://fisher.osu.edu/people/makhija.2,"AI, networking, data"
Selin Malkoc,https://fisher.osu.edu/people/malkoc.5,"AI, data"
Rakesh Mallipeddi,https://fisher.osu.edu/people/mallipeddi.1,"technology, AI, software, cybersecurity, data visualization, data"
James Maniace,https://fisher.osu.edu/people/maniace.1,"AI, data"
Whitney Mantonya,https://fisher.osu.edu/people/mantonya.1,"technology, AI, data"
Erin McKie,https://fisher.osu.edu/people/mckie.5,"technology, AI, data"
Tom Meling,https://fisher.osu.edu/people/meling.1,"AI, data"
Alessandro Melone,https://fisher.osu.edu/people/melone.11,"AI, data"
Tanya Menon,https://fisher.osu.edu/people/menon.53,"AI, data"
Bernadette Minton,https://fisher.osu.edu/people/minton.15,"AI, data"
Deborah Mitchell,https://fisher.osu.edu/people/mitchell.1120,"AI, data"
Brian Mittendorf,https://fisher.osu.edu/people/mittendorf.3,"AI, data"
Brian Monsen,https://fisher.osu.edu/people/monsen.3,"AI, data"
Waleed Muhanna,https://fisher.osu.edu/people/muhanna.1,"technology, AI, software, data mining, software engineering, data"
Richard Murdock,https://fisher.osu.edu/people/murdock.3,"AI, data"
Jimin Nam,https://fisher.osu.edu/people/nam.244,"AI, data"
Kevin Namaky,https://fisher.osu.edu/people/namaky.3,"AI, data"
Deepak Nayak,https://fisher.osu.edu/people/nayak.132,"technology, AI, machine learning, data"
Marissa Nelson,https://fisher.osu.edu/people/nelson.1495,"AI, data"
Mi Kyong Newsom,https://fisher.osu.edu/people/newsom.25,"AI, software, data"
Raymond Noe,https://fisher.osu.edu/people/noe.22,"AI, data"
Christopher O'Daniel,https://fisher.osu.edu/people/odaniel.24,"AI, data"
Daniel Oglevee,https://fisher.osu.edu/people/oglevee.3,"AI, networking, data"
Kennia Papadakis,https://fisher.osu.edu/people/papadakis.8,"technology, AI, data"
Clay Partridge,https://fisher.osu.edu/people/partridge.64,"AI, data"
Billy Patterson,https://fisher.osu.edu/people/patterson.1333,"AI, data"
Andrew Piletz,https://fisher.osu.edu/people/piletz.3,"AI, data"
George Pinteris,https://fisher.osu.edu/people/pinteris.1,"AI, networking, data"
Birsel Pirim,https://fisher.osu.edu/people/pirim.1,"AI, data"
Taner Pirim,https://fisher.osu.edu/people/pirim.2,"technology, AI, machine learning, blockchain, data"
Elena Plaksenkova,https://fisher.osu.edu/people/plaksenkova.1,"AI, data"
Jon Quinn,https://fisher.osu.edu/people/quinn.402,"AI, data"
Jonathan Ramsden,https://fisher.osu.edu/people/ramsden.4,"AI, data"
Rebecca Reczek,https://fisher.osu.edu/people/reczek.3,"technology, AI, artificial intelligence, data"
