Name,Profile URL,Keywords Found
David Bromwich,https://geography.osu.edu/people/bromwich.1,data
"Man-Yau (""Joseph"") Chan",https://geography.osu.edu/people/chan.1063,"big data, data"
Nancy Ettlinger,https://geography.osu.edu/people/ettlinger.1,data
Theresa Hice-Fromille,https://geography.osu.edu/people/hice-fromille.1,artificial intelligence
Huyen Le,https://geography.osu.edu/people/le.253,"technology, data"
Desheng Liu,https://geography.osu.edu/people/liu.738,"statistical modeling, data"
Zhengyu Liu,https://geography.osu.edu/people/liu.7022,data
Becky Mansfield,https://geography.osu.edu/people/mansfield.32,data
Bryan Mark,https://geography.osu.edu/people/mark.9,data
Kendra McSweeney,https://geography.osu.edu/people/mcsweeney.14,data
Harvey Miller,https://geography.osu.edu/people/miller.81,data
Alvaro Montenegro,https://geography.osu.edu/people/montenegro.8,data
Steven Quiring,https://geography.osu.edu/people/quiring.10,"data mining, data"
Chayanika Singh,https://geography.osu.edu/people/singh.1883,data
