Name,Profile URL,Keywords Found
Sahar Heydari Fard,https://philosophy.osu.edu/people/heydarifard.1,technology
Christa Johnson,https://philosophy.osu.edu/people/johnson.4597,programming
Richard  Samuels,https://philosophy.osu.edu/people/samuels.58,artificial intelligence
Piers Norris Turner,https://philosophy.osu.edu/people/turner.894,data
Michael Neblo,https://philosophy.osu.edu/people/neblo.1,technology
Alexander Petrov,https://philosophy.osu.edu/people/petrov.11,"software, neural networks, data"
Sahar Heydari Fard,https://philosophy.osu.edu/people/heydarifard.1,technology
Christa Johnson,https://philosophy.osu.edu/people/johnson.4597,programming
Richard  Samuels,https://philosophy.osu.edu/people/samuels.58,artificial intelligence
Piers Norris Turner,https://philosophy.osu.edu/people/turner.894,data
Michael Neblo,https://philosophy.osu.edu/people/neblo.1,technology
Alexander Petrov,https://philosophy.osu.edu/people/petrov.11,"software, neural networks, data"
Sahar Heydari Fard,https://philosophy.osu.edu/people/heydarifard.1,technology
Christa Johnson,https://philosophy.osu.edu/people/johnson.4597,programming
Richard  Samuels,https://philosophy.osu.edu/people/samuels.58,artificial intelligence
Piers Norris Turner,https://philosophy.osu.edu/people/turner.894,data
Michael Neblo,https://philosophy.osu.edu/people/neblo.1,technology
Alexander Petrov,https://philosophy.osu.edu/people/petrov.11,"software, neural networks, data"
