Name,Profile URL,Keywords Found
Eloise Kaizar,https://stat.osu.edu/people/kaizar.1,data
Arnab Auddy,https://stat.osu.edu/people/auddy.1,"machine learning, data"
Jonathan Baker,https://stat.osu.edu/people/baker.375,technology
Xiaoxuan Cai,https://stat.osu.edu/people/cai.1083,"machine learning, data"
Michelle Everson,https://stat.osu.edu/people/everson.50,"technology, data"
Radu Herbei,https://stat.osu.edu/people/herbei.1,computing
Kate Hu,https://stat.osu.edu/people/hu.3125,"data science, data"
Laura Kubatko,https://stat.osu.edu/people/kubatko.2,"computational biology, data"
Sebastian Kurtek,https://stat.osu.edu/people/kurtek.1,"technology, computing, computer vision, pattern recognition, bioinformatics, data"
Isa Marques,https://stat.osu.edu/people/marques.130,"data science, data"
Thomas Metzger,https://stat.osu.edu/people/metzger.181,data
Jillian Morrison,https://stat.osu.edu/people/morrison.1043,"data science, software, data"
Sally Paganin,https://stat.osu.edu/people/paganin.1,"computing, data science, software, data"
Subhadeep Paul,https://stat.osu.edu/people/paul.963,data
Mario Peruggia,https://stat.osu.edu/people/peruggia.1,data
