Name,Profile URL,Keywords Found
Stratos E. Constantinidis,https://theatreandfilm.osu.edu/people/constantinidis.1,virtual reality
Ryan Jay Friedman,https://theatreandfilm.osu.edu/people/friedman.193,technology
Beth Kattelman,https://theatreandfilm.osu.edu/people/kattelman.1,technology
Erica Levin,https://theatreandfilm.osu.edu/people/levin.1996,technology
Karen Mozingo,https://theatreandfilm.osu.edu/people/mozingo.3,data
Alex Oliszewski,https://theatreandfilm.osu.edu/people/oliszewski.1,"technology, virtual reality"
Stratos E. Constantinidis,https://theatreandfilm.osu.edu/people/constantinidis.1,virtual reality
Ryan Jay Friedman,https://theatreandfilm.osu.edu/people/friedman.193,technology
Beth Kattelman,https://theatreandfilm.osu.edu/people/kattelman.1,technology
Erica Levin,https://theatreandfilm.osu.edu/people/levin.1996,technology
Karen Mozingo,https://theatreandfilm.osu.edu/people/mozingo.3,data
Alex Oliszewski,https://theatreandfilm.osu.edu/people/oliszewski.1,"technology, virtual reality"
