Name,Profile URL,Keywords Found
Nahar Albudoor,https://sphs.osu.edu/people/albudoor.1,technology
Jodi Baxter,https://sphs.osu.edu/people/baxter.216,technology
Lawrence L. Feth,https://sphs.osu.edu/people/feth.1,"technology, signal processing"
Cagla Kantarcigil,https://sphs.osu.edu/people/kantarcigil.1,digital health
Amy Miller Sonntag,https://sphs.osu.edu/people/sonntag.12,technology
Janet M.  Weisenberger,https://sphs.osu.edu/people/weisenberger.21,technology
Richard Pogge,https://astronomy.osu.edu/people/pogge.1,technology
B. Scott Gaudi,https://astronomy.osu.edu/people/gaudi.1,"technology, data"
Chris Hirata,https://astronomy.osu.edu/people/hirata.10,"technology, data"
Christopher Kochanek,https://astronomy.osu.edu/people/kochanek.1,technology
Laura Lopez,https://astronomy.osu.edu/people/lopez.513,technology
Smita Mathur,https://astronomy.osu.edu/people/mathur.17,technology
Marc Pinsonneault,https://astronomy.osu.edu/people/pinsonneault.1,data
Donald Terndrup,https://astronomy.osu.edu/people/terndrup.1,data
Yuan-Sen Ting,https://astronomy.osu.edu/people/ting.74,"machine learning, artificial intelligence, data"
Ji Wang,https://astronomy.osu.edu/people/wang.12220,technology
Ashley Ross,https://astronomy.osu.edu/people/ross.1333,data
Wayne Schlingman,https://astronomy.osu.edu/people/schlingman.4,technology
Kevin A. Richards,https://germanic.osu.edu/people/richards.113,"technology, artificial intelligence, virtual reality, data visualization, data"
Budimka Uskokovic,https://germanic.osu.edu/people/uskokovic.2,technology
Kendra McSweeney,https://internationalstudies.osu.edu/people/mcsweeney.14,data
Erica Levin,https://history-of-art.osu.edu/people/levin.1996,technology
Kris Paulsen,https://history-of-art.osu.edu/people/paulsen.20,artificial intelligence
John Davis,https://history-of-art.osu.edu/people/davis.6345,technology
Joseph Bayer,https://comm.osu.edu/people/bayer.66,technology
Miriam (Mimi) Brinberg,https://comm.osu.edu/people/brinberg.2,data
Jesse Fox,https://comm.osu.edu/people/fox.775,"technology, virtual reality, mobile applications"
Susan Kline,https://comm.osu.edu/people/Kline.48,technology
Gerald Kosicki,https://comm.osu.edu/people/kosicki.1,data
W. Scott McGraw,https://anthropology.osu.edu/people/mcgraw.43,software
Jeffrey Cohen,https://anthropology.osu.edu/people/cohen.319,software
Robert Cook,https://anthropology.osu.edu/people/cook.426,software
Douglas  Crews,https://anthropology.osu.edu/people/crews.8,"software, data"
Sean Downey,https://anthropology.osu.edu/people/downey.205,"software, data"
Julie S. Field,https://anthropology.osu.edu/people/field.59,software
Debbie Guatelli-Steinberg,https://anthropology.osu.edu/people/Guatelli-Steinbe.1,software
Mark  Hubbe,https://anthropology.osu.edu/people/hubbe.1,"software, data"
Nicholas C. Kawa,https://anthropology.osu.edu/people/kawa.5,software
Dawn  Kitchen,https://anthropology.osu.edu/people/kitchen.79,software
Clark Spencer Larsen,https://anthropology.osu.edu/people/larsen.53,software
Joy McCorriston,https://anthropology.osu.edu/people/mccorriston.1,software
